sku,brand,name,photo_url,price,cost,diameter,width,bolt_pattern,model,model_other,color,backspacing,offset,center_bore,load_rating,exposed_lugs,material,structure,style,number_of_spokes,year_introduced
AFF10124168170,American Force,RAPID,https://americanforcewheels.com/content/uploads/2020/03/F101_Rapid_SF.jpg,4590.40,3592.80,"24""","16""",8x170,,,Polished ,,,,,Yes,,,,,
AFF10124168170B,American Force,RAPID,https://americanforcewheels.com/content/uploads/2020/04/RAPID-SS-BLK.jpg,5122.40,3991.84,"24""","16""",8x170,,,"Black,Milled",,,,,Yes,,,,,
AFF10126148170,American Force,RAPID,https://americanforcewheels.com/content/uploads/2020/03/F101_Rapid_SF.jpg,5844.40,4533.32,"26""","14""",8x170,,,Polished ,,,,,Yes,,,,,
AFF10124168170B,American Force,RAPID,https://americanforcewheels.com/content/uploads/2020/04/RAPID-SS-BLK.jpg,6376.40,4932.32,"26""","14""",8x170,,,"Black,Milled",,,,,Yes,,,,,
AFF10126168170,American Force,RAPID,https://americanforcewheels.com/content/uploads/2020/03/F101_Rapid_SF.jpg,6585.40,5089.04,"26""","16""",8x170,,,Polished ,,,,,Yes,,,,,
AFF10126168170B,American Force,RAPID,https://americanforcewheels.com/content/uploads/2020/04/RAPID-SS-BLK.jpg,7117.40,5488.04,"26""","16""",8x170,,,"Black,Milled",,,,,Yes,,,,,
AFF10120108165,American Force,RAPID,https://americanforcewheels.com/content/uploads/2020/03/F101_Rapid_SF.jpg,2394.00,1945.52,"20""","10""",8x6.5,,,Polished ,,,,,Yes,,,,,
AFF10120108165B,American Force,RAPID,https://americanforcewheels.com/content/uploads/2020/04/RAPID-SS-BLK.jpg,2926.00,2344.52,"20""","10""",8x6.5,,,"Black,Milled",,,,,Yes,,,,,
AFF10120128165,American Force,RAPID,https://americanforcewheels.com/content/uploads/2020/03/F101_Rapid_SF.jpg,2914.60,2335.96,"20""","12""",8x6.5,,,Polished ,,,,,Yes,,,,,
AFF20128165B,American Force,RAPID,https://americanforcewheels.com/content/uploads/2020/04/RAPID-SS-BLK.jpg,3446.60,2734.96,"20""","12""",8x6.5,,,"Black,Milled",,,,,Yes,,,,,
AFF10120148165,American Force,RAPID,https://americanforcewheels.com/content/uploads/2020/03/F101_Rapid_SF.jpg,3351.60,2663.72,"20""","14""",8x6.5,,,Polished ,,,,,Yes,,,,,
AFF10120148165B,American Force,RAPID,https://americanforcewheels.com/content/uploads/2020/04/RAPID-SS-BLK.jpg,3883.60,3062.72,"20""","14""",8x6.5,,,"Black,Milled",,,,,Yes,,,,,
AFF10122108165,American Force,RAPID,https://americanforcewheels.com/content/uploads/2020/03/F101_Rapid_SF.jpg,2952.60,2364.44,"22""","10""",8x6.5,,,Polished ,,,,,Yes,,,,,
AFF10122108165B,American Force,RAPID,https://americanforcewheels.com/content/uploads/2020/04/RAPID-SS-BLK.jpg,3484.60,2763.44,"22""","10""",8x6.5,,,"Black,Milled",,,,,Yes,,,,,
AFF10122128165,American Force,RAPID,https://americanforcewheels.com/content/uploads/2020/03/F101_Rapid_SF.jpg,3131.20,2498.40,"22""","12""",8x6.5,,,Polished ,,,,,Yes,,,,,
AFF10122128165B,American Force,RAPID,https://americanforcewheels.com/content/uploads/2020/04/RAPID-SS-BLK.jpg,3663.20,2897.40,"22""","12""",8x6.5,,,"Black,Milled",,,,,Yes,,,,,
AFF10122148165,American Force,RAPID,https://americanforcewheels.com/content/uploads/2020/03/F101_Rapid_SF.jpg,3591.00,2843.24,"22""","14""",8x6.5,,,Polished ,,,,,Yes,,,,,
AFF10122148165B,American Force,RAPID,https://americanforcewheels.com/content/uploads/2020/04/RAPID-SS-BLK.jpg,4123.00,3242.24,"22""","14""",8x6.5,,,"Black,Milled",,,,,Yes,,,,,
AFF10124118165,American Force,RAPID,https://americanforcewheels.com/content/uploads/2020/03/F101_Rapid_SF.jpg,3351.60,2663.72,"24""","11""",8x6.5,,,Polished ,,,,,Yes,,,,,
AFF10124118165B,American Force,RAPID,https://americanforcewheels.com/content/uploads/2020/04/RAPID-SS-BLK.jpg,3883.60,3062.72,"24""","11""",8x6.5,,,"Black,Milled",,,,,Yes,,,,,
AFF10124128165,American Force,RAPID,https://americanforcewheels.com/content/uploads/2020/03/F101_Rapid_SF.jpg,3591.00,2843.24,"24""","12""",8x6.5,,,Polished ,,,,,Yes,,,,,
AFF10124128165B,American Force,RAPID,https://americanforcewheels.com/content/uploads/2020/04/RAPID-SS-BLK.jpg,4123.00,3242.24,"24""","12""",8x6.5,,,"Black,Milled",,,,,Yes,,,,,
AFF10124148165,American Force,RAPID,https://americanforcewheels.com/content/uploads/2020/03/F101_Rapid_SF.jpg,4248.40,3336.32,"24""","14""",8x6.5,,,Polished ,,,,,Yes,,,,,
AFF10124148165B,American Force,RAPID,https://americanforcewheels.com/content/uploads/2020/04/RAPID-SS-BLK.jpg,4780.40,3735.32,"24""","14""",8x6.5,,,"Black,Milled",,,,,Yes,,,,,
AFF10124168165,American Force,RAPID,https://americanforcewheels.com/content/uploads/2020/03/F101_Rapid_SF.jpg,4590.40,3592.80,"24""","16""",8x6.5,,,Polished ,,,,,Yes,,,,,
AFF10124168165B,American Force,RAPID,https://americanforcewheels.com/content/uploads/2020/04/RAPID-SS-BLK.jpg,5122.40,3991.84,"24""","16""",8x6.5,,,"Black,Milled",,,,,Yes,,,,,
AFF10126148165,American Force,RAPID,https://americanforcewheels.com/content/uploads/2020/03/F101_Rapid_SF.jpg,5844.40,4533.32,"26""","14""",8x6.5,,,Polished ,,,,,Yes,,,,,
AFF10126148165B,American Force,RAPID,https://americanforcewheels.com/content/uploads/2020/04/RAPID-SS-BLK.jpg,6376.40,4932.32,"26""","14""",8x6.5,,,"Black,Milled",,,,,Yes,,,,,
AFF10126168165,American Force,RAPID,https://americanforcewheels.com/content/uploads/2020/03/F101_Rapid_SF.jpg,6585.40,5089.04,"26""","16""",8x6.5,,,Polished ,,,,,Yes,,,,,
AFF10126168165B,American Force,RAPID,https://americanforcewheels.com/content/uploads/2020/04/RAPID-SS-BLK.jpg,7117.40,5488.04,"26""","16""",8x6.5,,,"Black,Milled",,,,,Yes,,,,,
AFF10120108180,American Force,RAPID,https://americanforcewheels.com/content/uploads/2020/03/F101_Rapid_SF.jpg,2394.00,1945.52,"20""","10""",8x180,,,Polished ,,,,,Yes,,,,,
AFF10120108180B,American Force,RAPID,https://americanforcewheels.com/content/uploads/2020/04/RAPID-SS-BLK.jpg,2926.00,2344.52,"20""","10""",8x180,,,"Black,Milled",,,,,Yes,,,,,
AFF10120128180,American Force,RAPID,https://americanforcewheels.com/content/uploads/2020/03/F101_Rapid_SF.jpg,2914.60,2335.96,"20""","12""",8x180,,,Polished ,,,,,Yes,,,,,
AFF10120128180B,American Force,RAPID,https://americanforcewheels.com/content/uploads/2020/04/RAPID-SS-BLK.jpg,3446.60,2734.96,"20""","12""",8x180,,,"Black,Milled",,,,,Yes,,,,,
AFF10120148180,American Force,RAPID,https://americanforcewheels.com/content/uploads/2020/03/F101_Rapid_SF.jpg,3351.60,2663.72,"20""","14""",8x180,,,Polished ,,,,,Yes,,,,,
AFF10120148180B,American Force,RAPID,https://americanforcewheels.com/content/uploads/2020/04/RAPID-SS-BLK.jpg,3883.60,3062.72,"20""","14""",8x180,,,"Black,Milled",,,,,Yes,,,,,
AFF10122108180,American Force,RAPID,https://americanforcewheels.com/content/uploads/2020/03/F101_Rapid_SF.jpg,2952.60,2364.44,"22""","10""",8x180,,,Polished ,,,,,Yes,,,,,
AFF10122108180B,American Force,RAPID,https://americanforcewheels.com/content/uploads/2020/04/RAPID-SS-BLK.jpg,3484.60,2763.44,"22""","10""",8x180,,,"Black,Milled",,,,,Yes,,,,,
