sku,brand,name,photo_url,price,cost,diameter,width,bolt_pattern,model,model_other,color,backspacing,offset,center_bore,load_rating,exposed_lugs,material,structure,style,number_of_spokes,year_introduced
554BMR-2226844,TIS,554BMR,https://www.tiswheels.com/tis/images/554BMR.png,1950.36,1179.96,"22""","12""","6x135, 6x5.5",,,Black Milled ,,-44,108,2500,No,,,,,
554BMR-2106819,TIS,554BMR,https://www.tiswheels.com/tis/images/554BMR.png,1671.70,1011.36,"20""","10""","6x135, 6x5.5",,,,,-19,108,2500,No,,,,,
554BMR-2126844,TIS,554BMR,https://www.tiswheels.com/tis/images/554BMR.png,1811.00,1087.64,"20""","12""","6x135, 6x5.5",,,,,-44,108,2500,No,,,,,
535B-7906812,TIS,535B,https://www.tiswheels.com/tis/images/wheels-regular-angles/535b-reg.png,1612.00,975.28,"17""","9""","6x135, 6x5.5",,,,,-12,108,2500,No,,,,,
535B-8906818,TIS,535B,https://www.tiswheels.com/tis/images/wheels-regular-angles/535b-reg.png,1612.00,975.28,"18""","9""","6x135, 6x5.5",,,,,18,108,2500,No,,,,,
535B-8906800,TIS,535B,https://www.tiswheels.com/tis/images/wheels-regular-angles/535b-reg.png,1612.00,975.28,"18""","9""","6x135, 6x5.5",,,,,0,108,2500,No,,,,,
535B-8906812,TIS,535B,https://www.tiswheels.com/tis/images/wheels-regular-angles/535b-reg.png,1612.00,975.28,"18""","9""","6x135, 6x5.5",,,,,-12,108,2500,No,,,,,
535B-2096818,TIS,535B,https://www.tiswheels.com/tis/images/wheels-regular-angles/535b-reg.png,1612.00,975.28,"20""","9""","6x135, 6x5.5",,,,,18,108,2500,No,,,,,
535B-2090900,TIS,535B,https://www.tiswheels.com/tis/images/wheels-regular-angles/535b-reg.png,1612.00,975.28,"20""","9""","5x5, 5x5.5",,,,,0,78.1,2500,No,,,,,
535B-2096800,TIS,535B,https://www.tiswheels.com/tis/images/wheels-regular-angles/535b-reg.png,1612.00,975.28,"20""","9""","6x135, 6x5.5",,,,,0,108,2500,No,,,,,
535B-2096812,TIS,535B,https://www.tiswheels.com/tis/images/wheels-regular-angles/535b-reg.png,1612.00,975.28,"20""","9""","6x135, 6x5.5",,,,,-12,108,2500,No,,,,,
535MB-7906812,TIS,535MB,https://www.tiswheels.com/tis/images/wheels-regular-angles/535mb-reg.png,1612.00,975.28,"17""","9""","6x135, 6x5.5",,,,,-12,108,2500,No,,,,,
535MB-8906800,TIS,535MB,https://www.tiswheels.com/tis/images/wheels-regular-angles/535mb-reg.png,1612.00,975.28,"18""","9""","6x135, 6x5.5",,,,,0,108,2500,No,,,,,
535MB-8900512,TIS,535MB,https://www.tiswheels.com/tis/images/wheels-regular-angles/535mb-reg.png,1612.00,975.28,"18""","9""","5x5, 5x4.5",,,,,-12,78.1,2500,No,,,,,
535MB-8906812,TIS,535MB,https://www.tiswheels.com/tis/images/wheels-regular-angles/535mb-reg.png,1612.00,975.28,"18""","9""","6x135, 6x5.5",,,,,-12,108,2500,No,,,,,
535MB-2095218,TIS,535MB,https://www.tiswheels.com/tis/images/wheels-regular-angles/535mb-reg.png,1612.00,975.28,"20""","9""","5x5, 5x150",,,,,18,110,2500,No,,,,,
535MB-2098718,TIS,535MB,https://www.tiswheels.com/tis/images/wheels-regular-angles/535mb-reg.png,1612.00,975.28,"20""","9""",8x170,,,,,18,130.1,3700,,,,,,
535MB-2090900,TIS,535MB,https://www.tiswheels.com/tis/images/wheels-regular-angles/535mb-reg.png,1612.00,975.28,"20""","9""","5x5, 5x5.5",,,,,0,78,2500,,,,,,
535MB-2096812,TIS,535MB,https://www.tiswheels.com/tis/images/wheels-regular-angles/535mb-reg.png,1612.00,975.28,"20""","9""","6x135, 6x5.5",,,,,-12,108,2500,,,,,,
538MB-7900512,TIS,538MB,https://www.tiswheels.com/tis/images/wheels-regular-angles/535mb-reg.png,1612.00,975.28,"17""","9""","5x4.5, 5x5",,,,,-12,78,2500,,,,,,
