sku,brand,name,photo_url,price,cost,diameter,width,bolt_pattern,model,model_other,color,backspacing,offset,center_bore,load_rating,exposed_lugs,material,structure,style,number_of_spokes,year_introduced
351-6865BZ0,Vision Offroad,351,https://images.iconfigurators.app/images/wheels/large/vision-flow-351-wheel-5lug-bronze-17x9-500_6822.png,604,431.24,"16""","8""","5x4.5,5x114.3",,,Bronze,4.5,0,,,,,,,,
351-6865SB0,Vision Offroad,351,https://images.iconfigurators.app/images/wheels/large/vision-flow-351-wheel-8lug-satin-black-16x8-500_8234.png,604,431.24,"16""","8""","5x4.5,5x114.3",,,Satin Black,4.5,0,,,,,,,,
351-6865SG0,Vision Offroad,351,,604,431.24,"16""","8""","5x4.5,5x114.3",,,Satin Grey,4.5,0,,,,,,,,
351-6873BZ0,Vision Offroad,351,https://images.iconfigurators.app/images/wheels/large/vision-flow-351-wheel-5lug-bronze-17x9-500_6822.png,604,431.24,"16""","8""","5x4.5,5x114.3",,,Bronze,4.5,0,,,,,,,,
351-6873SB0,Vision Offroad,351,https://images.iconfigurators.app/images/wheels/large/vision-flow-351-wheel-8lug-satin-black-16x8-500_8234.png,604,431.24,"16""","8""","5x4.5,5x114.3",,,Satin Black,4.5,0,,,,,,,,
351-6873SG0,Vision Offroad,351,,604,431.24,"16""","8""","5x4.5,5x114.3",,,Satin Grey,4.5,0,,,,,,,,
351-6881BZ0,Vision Offroad,351,https://images.iconfigurators.app/images/wheels/large/vision-flow-351-wheel-5lug-bronze-17x9-500_6822.png,604,431.24,"16""","8""","5x4.5,5x114.3",,,Bronze,4.5,0,,,,,,,,
351-6881SB0,Vision Offroad,351,https://images.iconfigurators.app/images/wheels/large/vision-flow-351-wheel-8lug-satin-black-16x8-500_8234.png,604,431.24,"16""","8""","5x4.5,5x114.3",,,Satin Black,4.5,0,,,,,,,,
351-6881SG0,Vision Offroad,351,,604,431.24,"16""","8""","5x4.5,5x114.3",,,Satin Grey,4.5,0,,,,,,,,
351-6883BZ0,Vision Offroad,351,https://images.iconfigurators.app/images/wheels/large/vision-flow-351-wheel-5lug-bronze-17x9-500_6822.png,604,431.24,"16""","8""","5x4.5,5x114.3",,,Bronze,4.5,0,,,,,,,,
351-6883SB0,Vision Offroad,351,https://images.iconfigurators.app/images/wheels/large/vision-flow-351-wheel-8lug-satin-black-16x8-500_8234.png,604,431.24,"16""","8""","5x4.5,5x114.3",,,Satin Black,4.5,0,,,,,,,,
351-6883SG0,Vision Offroad,351,,604,431.24,"16""","8""","5x4.5,5x114.3",,,Satin Grey,4.5,0,,,,,,,,
