sku,brand,name,photo_url,price,cost,diameter,width,bolt_pattern,model,model_other,color,backspacing,offset,center_bore,load_rating,exposed_lugs,material,structure,style,number_of_spokes,year_introduced
D57918908957,Fuel,D579 VECOR,https://images.wheelpros.com/hD579.png,1080.00,810.00,"18""","9""",6x135,,,,,,87.1,2500,,,,,,
D57918909452,Fuel,D579 VECOR,https://images.wheelpros.com/hD579.png,1080.00,810.00,"18""","9""",6x120,,,,,,67.06,2500,,,,,,
D57918909457,Fuel,D579 VECOR,https://images.wheelpros.com/hD579.png,1080.00,810.00,"18""","9""",6x120,,,,,,67.06,2500,,,,,,
D57920001747,Fuel,D579 VECOR,https://images.wheelpros.com/hD579.png,1332.00,999.00,"20""","10""",8x170,,,,,,125.1,3700,,,,,,
D57920007347,Fuel,D579 VECOR,https://images.wheelpros.com/hD579.png,1332.00,999.00,"20""","10""",5x5.0,,,,,,78.1,2500,,,,,,
D57920008247,Fuel,D579 VECOR,https://images.wheelpros.com/hD579.png,1332.00,999.00,"20""","10""",8x6.5,,,,,,125.1,3700,,,,,,
D57920008347,Fuel,D579 VECOR,https://images.wheelpros.com/hD579.png,1332.00,999.00,"20""","10""",6x5.5,,,,,,108,2500,,,,,,
D57920901750,Fuel,D579 VECOR,https://images.wheelpros.com/hD579.png,1232.00,924.00,"20""","9""",8x170,,,,,,125.1,3500,,,,,,
D57920901857,Fuel,D579 VECOR,https://images.wheelpros.com/hD579.png,1232.00,924.00,"20""","9""",8x180,,,,,,124.2,3500,,,,,,
D57920905650,Fuel,D579 VECOR,https://images.wheelpros.com/hD579.png,1232.00,924.00,"20""","9""",5x150,,,,,,110.1,2500,,,,,,
D57920905657,Fuel,D579 VECOR,https://images.wheelpros.com/hD579.png,1232.00,924.00,"20""","9""",5x150,,,,,,110.1,2500,,,,,,
D57920907350,Fuel,D579 VECOR,https://images.wheelpros.com/hD579.png,1232.00,924.00,"20""","9""",5x5.0,,,,,,78.1,2500,,,,,,
D57920908250,Fuel,D579 VECOR,https://images.wheelpros.com/hD579.png,1232.00,924.00,"20""","9""",8x6.5,,,,,,125.1,3500,,,,,,
D57920908350,Fuel,D579 VECOR,https://images.wheelpros.com/hD579.png,1232.00,924.00,"20""","9""",6x5.5,,,,,,108,2500,,,,,,
D57920908357,Fuel,D579 VECOR,https://images.wheelpros.com/hD579.png,1232.00,924.00,"20""","9""",6x5.5,,,,,,108,2500,,,,,,
D57920908456,Fuel,D579 VECOR,https://images.wheelpros.com/hD579.png,1232.00,924.00,"20""","9""",6x5.5,,,,,,106.1,2500,,,,,,
D57920908550,Fuel,D579 VECOR,https://images.wheelpros.com/hD579.png,0.00,0.00,"20""","9""",5x5.5,,,,,,108,2500,,,,,,
D57920908950,Fuel,D579 VECOR,https://images.wheelpros.com/hD579.png,1232.00,924.00,"20""","9""",6x135,,,,,,87.1,2500,,,,,,
D57920908957,Fuel,D579 VECOR,https://images.wheelpros.com/hD579.png,1232.00,924.00,"20""","9""",6x135,,,,,,87.1,2500,,,,,,
D57920909452,Fuel,D579 VECOR,https://images.wheelpros.com/hD579.png,1232.00,924.00,"20""","9""",6x120,,,,,,67.06,2500,,,,,,
D58117902645,Fuel,D581 TRITON,https://images.wheelpros.com/hD581.png,760.00,570.00,"17""","9""","5x4.5,5.0",,,,,,78.1,2500,,,,,,
D58117907050,Fuel,D581 TRITON,https://images.wheelpros.com/hD581.png,0.00,0.00,"17""","9""","5x5.5,150",,,,,,110.1,2500,,,,,,
D58117908245,Fuel,D581 TRITON,https://images.wheelpros.com/hD581.png,0.00,0.00,"17""","9""",8x6.5,,,,,,125.1,3700,,,,,,
D58117909845,Fuel,D581 TRITON,https://images.wheelpros.com/hD581.png,0.00,0.00,"17""","9""","6x135,5.5",,,,,,106.1,2500,,,,,,
D58117909850,Fuel,D581 TRITON,https://images.wheelpros.com/hD581.png,0.00,0.00,"17""","9""","6x135,5.5",,,,,,106.1,2500,,,,,,
D58118907050,Fuel,D581 TRITON,https://images.wheelpros.com/hD581.png,0.00,0.00,"18""","9""","5x5.5,150",,,,,,110.1,2500,,,,,,
D58118907057,Fuel,D581 TRITON,https://images.wheelpros.com/hD581.png,0.00,0.00,"18""","9""","5x5.5,150",,,,,,110.1,2500,,,,,,
D58118908245,Fuel,D581 TRITON,https://images.wheelpros.com/hD581.png,1144.00,858.00,"18""","9""",8x6.5,,,,,,125.1,3700,,,,,,
D58118908257,Fuel,D581 TRITON,https://images.wheelpros.com/hD581.png,0.00,0.00,"18""","9""",8x6.5,,,,,,125.1,3700,,,,,,
D58118909845,Fuel,D581 TRITON,https://images.wheelpros.com/hD581.png,1144.00,858.00,"18""","9""","6x135,5.5",,,,,,106.1,2500,,,,,,
D58118909850,Fuel,D581 TRITON,https://images.wheelpros.com/hD581.png,1144.00,858.00,"18""","9""","6x135,5.5",,,,,,106.1,2500,,,,,,
D58118909857,Fuel,D581 TRITON,https://images.wheelpros.com/hD581.png,0.00,0.00,"18""","9""","6x135,5.5",,,,,,106.1,2500,,,,,,
D58120001747,Fuel,D581 TRITON,https://images.wheelpros.com/hD581.png,1396.00,1047.00,"20""","10""",8x170,,,,,,125.1,3500,,,,,,
D58120001847,Fuel,D581 TRITON,https://images.wheelpros.com/hD581.png,1396.00,1047.00,"20""","10""",8x180,,,,,,124.2,3500,,,,,,
D58120002647,Fuel,D581 TRITON,https://images.wheelpros.com/hD581.png,1396.00,1047.00,"20""","10""","5x4.5,5.0",,,,,,78.1,2500,,,,,,
D58120007047,Fuel,D581 TRITON,https://images.wheelpros.com/hD581.png,1396.00,1047.00,"20""","10""","5x5.5,150",,,,,,110.1,2500,,,,,,
D58120008247,Fuel,D581 TRITON,https://images.wheelpros.com/hD581.png,1396.00,1047.00,"20""","10""",8x6.5,,,,,,125.1,3500,,,,,,
D58120009846,Fuel,D581 TRITON,https://images.wheelpros.com/hD581.png,1396.00,1047.00,"20""","10""","6x135,5.5",,,,,,106.1,2500,,,,,,
D58120009847,Fuel,D581 TRITON,https://images.wheelpros.com/hD581.png,0.00,0.00,"20""","10""","6x135,5.5",,,,,,106.1,2500,,,,,,
D58120201747,Fuel,D581 TRITON,https://images.wheelpros.com/hD581.png,1620.00,1215.00,"20""","12""",8x170,,,,,,125.1,3500,,,,,,
D58120201847,Fuel,D581 TRITON,https://images.wheelpros.com/hD581.png,1620.00,1215.00,"20""","12""",8x180,,,,,,124.2,3500,,,,,,
D58120202647,Fuel,D581 TRITON,https://images.wheelpros.com/hD581.png,1620.00,1215.00,"20""","12""","5x4.5,5.0",,,,,,78.1,2500,,,,,,
D58120207047,Fuel,D581 TRITON,https://images.wheelpros.com/hD581.png,1620.00,1215.00,"20""","12""","5x5.5,150",,,,,,110.1,2500,,,,,,
D58120208247,Fuel,D581 TRITON,https://images.wheelpros.com/hD581.png,1620.00,1215.00,"20""","12""",8x6.5,,,,,,125.1,3500,,,,,,
D58120209846,Fuel,D581 TRITON,https://images.wheelpros.com/hD581.png,1620.00,1215.00,"20""","12""","6x135,5.5",,,,,,106.1,2500,,,,,,
D58120828D,Fuel,D581 TRITON,https://images.wheelpros.com/hD581.png,1804.00,1353.00,"20""","8.25""",8x6.5,,,,,,121.5,2500,,,,,,
D58120828D25,Fuel,D581 TRITON,https://images.wheelpros.com/hD581.png,1804.00,1353.00,"20""","8.25""",8x6.5,,,,,,121.5,2500,,,,,,
D58120828D35,Fuel,D581 TRITON,https://images.wheelpros.com/hD581.png,1804.00,1353.00,"20""","8.25""",8x6.5,,,,,,121.5,2500,,,,,,
